point_id,point_type,lot,lan,night,tw_start,tw_end
TERNOPIL_D05_0001,TC,25.589119,49.572195,так,18:00:00,23:59:59
TERNOPIL_D05_0002,ATM,25.661455,49.590505,ні,,
TERNOPIL_D05_0003,TT,25.630224,49.568777,ні,,
TERNOPIL_D05_0004,ATM,25.637968,49.522808,ні,,
TERNOPIL_D05_0005,TT,25.597677,49.552368,ні,,
TERNOPIL_D05_0006,TOBO,25.670518,49.521185,ні,,
TERNOPIL_D05_0007,TT,25.704905,49.543418,ні,,
TERNOPIL_D05_0008,TT,25.527361,49.539194,ні,11:00:00,17:00:00
TERNOPIL_D05_0009,TC,25.54143,49.587168,ні,,
TERNOPIL_D05_0010,ATM,25.709756,49.538139,ні,,
TERNOPIL_D05_0011,TC,25.61005,49.563297,ні,,
TERNOPIL_D05_0012,TT,25.585815,49.597144,ні,09:00:00,11:00:00
TERNOPIL_D05_0013,TT,25.592178,49.558324,ні,,
TERNOPIL_D05_0014,TOBO,25.603609,49.559259,так,18:00:00,23:59:59
TERNOPIL_D05_0015,TT,25.57656,49.53865,ні,,
TERNOPIL_D05_0016,ATM,25.675995,49.565783,ні,,
TERNOPIL_D05_0017,TT,25.663466,49.553701,ні,09:30:00,11:30:00
TERNOPIL_D05_0018,TOBO,25.574008,49.608466,ні,,
TERNOPIL_D05_0019,TT,25.624899,49.535893,ні,,
TERNOPIL_D05_0020,TT,25.620448,49.556933,ні,,
TERNOPIL_D05_0021,TT,25.611625,49.512244,ні,,
TERNOPIL_D05_0022,TT,25.697269,49.484603,ні,10:30:00,16:30:00
TERNOPIL_D05_0023,TT,25.687199,49.55859,ні,10:00:00,13:00:00
TERNOPIL_D05_0024,TC,25.630372,49.596659,ні,,
TERNOPIL_D05_0025,ATM,25.622314,49.493228,так,18:00:00,23:59:59
TERNOPIL_D05_0026,TC,25.629189,49.570487,так,18:00:00,23:59:59
TERNOPIL_D05_0027,TOBO,25.605536,49.544873,ні,,
TERNOPIL_D05_0028,TC,25.56615,49.550803,ні,,
TERNOPIL_D05_0029,TOBO,25.556744,49.542228,ні,,
TERNOPIL_D05_0030,ATM,25.602493,49.497886,ні,,
TERNOPIL_D05_0031,ATM,25.620565,49.494052,так,18:00:00,23:59:59
TERNOPIL_D05_0032,ATM,25.573029,49.536704,так,18:00:00,23:59:59
TERNOPIL_D05_0033,TT,25.619471,49.512707,ні,,
TERNOPIL_D05_0034,TC,25.61127,49.501984,ні,,
TERNOPIL_D05_0035,ATM,25.559658,49.552115,так,18:00:00,23:59:59
TERNOPIL_D05_0036,TC,25.625302,49.595969,так,18:00:00,23:59:59
TERNOPIL_D05_0037,TOBO,25.542652,49.582027,ні,,
TERNOPIL_D05_0038,TT,25.590911,49.488341,ні,,
TERNOPIL_D05_0039,TT,25.582048,49.48515,так,18:00:00,23:59:59
TERNOPIL_D05_0040,TC,25.68081,49.576309,так,18:00:00,23:59:59
TERNOPIL_D05_0041,TOBO,25.586255,49.58811,ні,,
TERNOPIL_D05_0042,ATM,25.53952,49.616532,так,18:00:00,23:59:59
TERNOPIL_D05_0043,TC,25.523012,49.556483,так,18:00:00,23:59:59
TERNOPIL_D05_0044,TOBO,25.679003,49.516295,так,18:00:00,23:59:59
TERNOPIL_D05_0045,TT,25.56674,49.564032,ні,,
TERNOPIL_D05_0046,ATM,25.560953,49.535866,ні,,
TERNOPIL_D05_0047,ATM,25.533142,49.562814,так,18:00:00,23:59:59
TERNOPIL_D05_0048,ATM,25.500491,49.571843,так,18:00:00,23:59:59
TERNOPIL_D05_0049,TT,25.582795,49.550586,ні,,
TERNOPIL_D05_0050,ATM,25.586266,49.537582,ні,,
TERNOPIL_D05_0051,TT,25.702591,49.545931,ні,,
TERNOPIL_D05_0052,TOBO,25.586224,49.593336,так,18:00:00,23:59:59
TERNOPIL_D05_0053,TOBO,25.670178,49.610281,так,18:00:00,23:59:59
TERNOPIL_D05_0054,TOBO,25.67033,49.560877,ні,,
TERNOPIL_D05_0055,ATM,25.700298,49.483727,ні,,
TERNOPIL_D05_0056,TC,25.62695,49.590814,ні,,
TERNOPIL_D05_0057,ATM,25.535186,49.53008,ні,,
TERNOPIL_D05_0058,TC,25.618886,49.51131,ні,,
TERNOPIL_D05_0059,TT,25.654875,49.565526,ні,09:00:00,15:00:00
TERNOPIL_D05_0060,TC,25.560341,49.561855,ні,,
TERNOPIL_D05_0061,ATM,25.570835,49.589784,так,18:00:00,23:59:59
TERNOPIL_D05_0062,TC,25.596021,49.540295,так,18:00:00,23:59:59
TERNOPIL_D05_0063,TOBO,25.565055,49.549506,ні,,
TERNOPIL_D05_0064,TT,25.525749,49.56307,ні,,
TERNOPIL_D05_0065,TC,25.64298,49.558267,ні,,
TERNOPIL_D05_0066,TT,25.562656,49.610221,ні,,
TERNOPIL_D05_0067,ATM,25.596427,49.536641,так,18:00:00,23:59:59
TERNOPIL_D05_0068,ATM,25.605748,49.530835,так,18:00:00,23:59:59
TERNOPIL_D05_0069,TT,25.614867,49.556439,ні,,
TERNOPIL_D05_0070,TOBO,25.667035,49.553432,ні,,
TERNOPIL_D05_0071,TT,25.602496,49.559122,ні,,
TERNOPIL_D05_0072,ATM,25.66424,49.555473,ні,,
TERNOPIL_D05_0073,ATM,25.707938,49.526396,ні,,
TERNOPIL_D05_0074,ATM,25.557878,49.551397,ні,,
TERNOPIL_D05_0075,TOBO,25.61685,49.512531,ні,,
TERNOPIL_D05_0076,TT,25.598426,49.560942,так,18:00:00,23:59:59
TERNOPIL_D05_0077,TT,25.512826,49.566809,ні,,
TERNOPIL_D05_0078,TOBO,25.56513,49.553392,ні,,
TERNOPIL_D05_0079,ATM,25.672839,49.568201,ні,,
TERNOPIL_D05_0080,ATM,25.574473,49.536184,ні,,
TERNOPIL_D05_0081,TC,25.567802,49.559197,ні,,
TERNOPIL_D05_0082,TT,25.515778,49.56289,ні,13:00:00,16:00:00
TERNOPIL_D05_0083,TT,25.538712,49.619632,ні,,
TERNOPIL_D05_0084,TT,25.590977,49.555078,ні,15:00:00,17:30:00
TERNOPIL_D05_0085,TT,25.669073,49.563257,ні,,
TERNOPIL_D05_0086,TOBO,25.666988,49.556103,ні,,
TERNOPIL_D05_0087,ATM,25.648709,49.577947,так,18:00:00,23:59:59
TERNOPIL_D05_0088,ATM,25.551067,49.537402,ні,,
TERNOPIL_D05_0089,ATM,25.573488,49.490719,ні,,
TERNOPIL_D05_0090,ATM,25.566218,49.56319,ні,,
TERNOPIL_D05_0091,TC,25.577994,49.591217,ні,,
TERNOPIL_D05_0092,TT,25.641149,49.51874,ні,,
TERNOPIL_D05_0093,TT,25.602167,49.556583,ні,,
TERNOPIL_D05_0094,TT,25.603583,49.553849,ні,14:00:00,17:00:00
TERNOPIL_D05_0095,TC,25.635763,49.546782,ні,,
TERNOPIL_D05_0096,TOBO,25.609076,49.560576,ні,,
TERNOPIL_D05_0097,ATM,25.634753,49.573346,ні,,
TERNOPIL_D05_0098,TT,25.621144,49.560068,ні,12:00:00,16:00:00
TERNOPIL_D05_0099,TT,25.711145,49.527118,ні,,
TERNOPIL_D05_0100,TC,25.586584,49.548985,ні,,
TERNOPIL_D05_0101,ATM,25.678027,49.514245,ні,,
TERNOPIL_D05_0102,ATM,25.57579,49.54115,так,18:00:00,23:59:59
TERNOPIL_D05_0103,TOBO,25.628683,49.585234,ні,,
TERNOPIL_D05_0104,TT,25.580803,49.607257,ні,,
TERNOPIL_D05_0105,TT,25.570436,49.615316,так,18:00:00,23:59:59
TERNOPIL_D05_0106,ATM,25.71547,49.527633,ні,,
TERNOPIL_D05_0107,TC,25.589481,49.56442,ні,,
TERNOPIL_D05_0108,TC,25.518913,49.546271,ні,,
TERNOPIL_D05_0109,TC,25.624955,49.599963,так,18:00:00,23:59:59
TERNOPIL_D05_0110,TT,25.711786,49.543147,ні,17:00:00,20:00:00
TERNOPIL_D05_0111,ATM,25.61091,49.552117,ні,,
TERNOPIL_D05_0112,TC,25.606185,49.53116,ні,,
TERNOPIL_D05_0113,ATM,25.608622,49.49716,ні,,
TERNOPIL_D05_0114,TOBO,25.523393,49.55763,так,18:00:00,23:59:59
TERNOPIL_D05_0115,ATM,25.508515,49.555864,так,18:00:00,23:59:59
TERNOPIL_D05_0116,TT,25.665035,49.568276,ні,,
TERNOPIL_D05_0117,TT,25.701762,49.483704,ні,,
TERNOPIL_D05_0118,ATM,25.574327,49.490408,так,18:00:00,23:59:59
TERNOPIL_D05_0119,ATM,25.607916,49.54743,ні,,
TERNOPIL_D05_0120,TC,25.563243,49.615406,так,18:00:00,23:59:59
TERNOPIL_D05_0121,TT,25.696646,49.536491,ні,,
TERNOPIL_D05_0122,TC,25.708226,49.540943,ні,,
TERNOPIL_D05_0123,ATM,25.683488,49.570156,ні,,
TERNOPIL_D05_0124,TOBO,25.59162,49.556336,ні,,
TERNOPIL_D05_0125,TT,25.570939,49.589144,ні,19:00:00,21:00:00
TERNOPIL_D05_0126,TOBO,25.507724,49.534745,так,18:00:00,23:59:59
TERNOPIL_D05_0127,ATM,25.628614,49.595559,ні,,
TERNOPIL_D05_0128,TC,25.597956,49.533962,ні,,
TERNOPIL_D05_0129,TC,25.660278,49.522664,так,18:00:00,23:59:59
TERNOPIL_D05_0130,TOBO,25.621316,49.50349,ні,,
TERNOPIL_D05_0131,ATM,25.575802,49.583836,так,18:00:00,23:59:59
TERNOPIL_D05_0132,TT,25.601645,49.493858,ні,,
TERNOPIL_D05_0133,TOBO,25.523457,49.557788,ні,,
TERNOPIL_D05_0134,TT,25.525401,49.534443,ні,,
TERNOPIL_D05_0135,TT,25.594573,49.561371,ні,14:00:00,17:00:00
TERNOPIL_D05_0136,ATM,25.60828,49.562322,так,18:00:00,23:59:59
TERNOPIL_D05_0137,TT,25.586271,49.547351,ні,,
TERNOPIL_D05_0138,TT,25.515906,49.561496,ні,,
TERNOPIL_D05_0139,TT,25.643724,49.522988,ні,,
TERNOPIL_D05_0140,TOBO,25.716469,49.529116,ні,,
TERNOPIL_D05_0141,ATM,25.640901,49.576288,ні,,
TERNOPIL_D05_0142,TOBO,25.612544,49.507521,ні,,
TERNOPIL_D05_0143,TOBO,25.603693,49.495637,так,18:00:00,23:59:59
TERNOPIL_D05_0144,TOBO,25.509227,49.554136,ні,,
TERNOPIL_D05_0145,ATM,25.520283,49.543905,ні,,
TERNOPIL_D05_0146,TT,25.616922,49.549147,ні,,
TERNOPIL_D05_0147,TC,25.574731,49.49093,ні,,
TERNOPIL_D05_0148,TC,25.707068,49.537576,ні,,
TERNOPIL_D05_0149,TT,25.526039,49.563773,ні,,
TERNOPIL_D05_0150,TT,25.563239,49.482679,ні,,
TERNOPIL_D05_0151,TT,25.608102,49.548852,ні,,
TERNOPIL_D05_0152,TOBO,25.596049,49.559739,так,18:00:00,23:59:59
TERNOPIL_D05_0153,TC,25.585453,49.566631,ні,,
TERNOPIL_D05_0154,TOBO,25.667905,49.558526,ні,,
TERNOPIL_D05_0155,TOBO,25.515971,49.560823,так,18:00:00,23:59:59
TERNOPIL_D05_0156,TT,25.592313,49.558371,ні,,
TERNOPIL_D05_0157,TOBO,25.600358,49.548265,ні,,
TERNOPIL_D05_0158,ATM,25.60463,49.530333,ні,,
